Term Identifier	Term Name	Term textual definition	Spanish Translation	
Abnormality of the skeletal system			Anomalía del Sistema Esquelético	
Abnormality of the skeletal system	HP:0010705	4-5 finger syndactyly	`Syndactyly` (HP:0001159) with fusion of fingers four and five.	Sindactilia de dedos 4-5 de la mano	
Abnormality of the skeletal system	HP:0004692	4-5 toe syndactyly	`Syndactyly` (HP:0001159) with fusion of toes four and five.	Sindactilia de dedos 4-5 del pie	
Abnormality of the skeletal system	HP:0001501	6 metacarpals		Seis metacarpianos	
Abnormality of the skeletal system	HP:0011844	Abnormal appendicular skeleton morphology	An abnormality of the `appendicular skeletal system` (FMA:7484), consisting of the of the limbs, shoulder and pelvic girdles.	Morfología anormal de los huesos de las extremidades	
Abnormality of the skeletal system	HP:0012769	Abnormal arm span	A deviation from normal of the length of the arm span (length from one end of an individual's arms (measured at the fingertips) to the other when raised parallel to the ground at shoulder height at a one-hundred eighty degree angle.	Envergadura anormal	
Abnormality of the skeletal system	HP:0009121	Abnormal axial skeleton morphology	An abnormality of the axial skeleton, which comprises the skull, the vertebral column, the ribs and the sternum.	Morfología anormal del esqueleto axial	
Abnormality of the skeletal system	HP:0011862	Abnormal bone collagen fibril morphology	Any structural anomaly of the connective tissue bundles in the extracellular matrix of bone tissue that are composed of collagen, and play a role in tissue strength and elasticity.	Morfología anómala del colágeno fibrilar óseo	
Abnormality of the skeletal system	HP:0011849	Abnormal bone ossification	Any anomaly in the formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance.	Osificación ósea anormal	
Abnormality of the skeletal system	HP:0003330	Abnormal bone structure	Any anomaly in the composite material or the layered arrangement of the bony skeleton.	Estructura ósea anormal	
Abnormality of the skeletal system	HP:0009164	Abnormal calcification of the carpal bones		Calcificación anormal de los huesos del carpo	
Abnormality of the skeletal system	HP:0008271	Abnormal cartilage collagen	Abnormal morphology of collagen fibers in cartilage. In cartilage, collagen II, actually a collagen II:IX:XI heterofibril, is by far the most important type of collagen. A number of abnormalities may be appreciated by electron micrography or biochemical investigations, including sparse collagen fibers in the cartilage matrix.	Colágeno del cartílago anormal	
Abnormality of the skeletal system	HP:0008178	Abnormal cartilage matrix		Matriz del cartílago anormal	
Abnormality of the skeletal system	HP:0002763	Abnormal cartilage morphology	Any abnormality of cartilage.	Morfología del cartílago anormal	
Abnormality of the skeletal system	HP:0005905	Abnormal cervical curvature	The presence of an `abnormal` (PATO:0000460) `curvature` (PATO:0001591) of the `cervical vertebral column` (FMA:24138).	Curvatura cervical anormal	
Abnormality of the skeletal system	HP:0003103	Abnormal cortical bone morphology	An abnormality of `compact bone` (FMA:24018) (also known as cortical bone), which forms the dense surface of bones.	Morfología anormal de la cortical ósea 	
Abnormality of the skeletal system	HP:0000940	Abnormal diaphysis morphology	An abnormality of the structure or form of the diaphysis, i.e., of the main or mid-section (shaft) of a long bone.	Morfología anormal de las diáfisis	
Abnormality of the skeletal system	HP:0003336	Abnormal enchondral ossification	An abnormality of the process of `endochondral ossification` (GO:0001958), which is a type of replacement ossification in which bone tissue replaces cartilage.	Osificación endocondral anormal	
Abnormality of the skeletal system	HP:0010656	Abnormal epiphyseal ossification	An abnormality of the formation and mineralization of an `epiphysis` (FMA:24012).	Osificación epifisaria anormal	
Abnormality of the skeletal system	HP:0005259	Abnormal facility in opposing the shoulders		Osificación anormal del hueso del pie	
Abnormality of the skeletal system	HP:0006143	Abnormal finger flexion creases		Pliegues de flexión de los dedos de la mano anormales	
Abnormality of the skeletal system	HP:0010675	Abnormal foot bone ossification	An abnormality of the formation and mineralization of any bone of the `skeleton of foot` (FMA:24222).	Anomalía de la osificación de los huesos del pie	
Abnormality of the skeletal system	HP:0003312	Abnormal form of the vertebral bodies		Forma anormal de los cuerpos vertebrales	
Abnormality of the skeletal system	HP:0010660	Abnormal hand bone ossification	An abnormality of the formation and mineralization of any bone of the `skeleton of hand` (FMA:24159).	Osificación anormal del hueso de la mano	
Abnormality of the skeletal system	HP:0005922	Abnormal hand morphology	Any structural anomaly of the `hand` (FMA:9712).	Morfología anormal de la mano	
Abnormality of the skeletal system	HP:0012791	Abnormal humeral ossification	An anomaly of the process of formation of bone in the humerus.	Osificación anormal del húmero	
Abnormality of the skeletal system	HP:0012790	Abnormal intramembranous ossification	An anomaly in the process of intramembranous ossification by which flat bones (cranial bones of the skull, i.e., the frontal, perietal, occipital, and temporal bones, and the clavicles) are formed.	Osificación intramembranosa anormal	
Abnormality of the skeletal system	HP:0001367	Abnormal joint morphology	An abnormal structure or form of the `joints` (FMA:73023), i.e., one or more of the articulations where two bones join.	Morfología articular anormal	
Abnormality of the skeletal system	HP:0005916	Abnormal metacarpal morphology	Irregularly shaped metacarpal bones of varying degree.	Morfología anormal de los metacarpianos	
Abnormality of the skeletal system	HP:0005089	Abnormal metaphyseal trabeculation	An abnormality of the pattern of trabecula (small interconnecting rods of bone) in a metaphyseal region of bone.	Trabeculación metafisaria anormal	
Abnormality of the skeletal system	HP:0003562	Abnormal metaphyseal vascular invasion		Invasión vascular anormal de la metáfisis	
Abnormality of the skeletal system	HP:0008371	Abnormal metatarsal ossification	Any abnormal process of ossification of the metatarsal bones, which normally are each ossified from two centers: one for the body, and one for the head (metatarsal II,III,IV, and V) and one for the body and one for the base (metatarsal I). The ossification process begins in the center of the body about the ninth week, and extends toward either extremity. The center for the base of the first metatarsal appears about the third year, and the centers for the heads of the other bones between the fifth and eighth years. They join the bodies between the eighteenth and twentieth years.	Osificación anormal de los metatarsianos	
Abnormality of the skeletal system	HP:0009107	Abnormal ossification involving the femoral head and neck		Osificación anormal que afecta a la cabeza femoral y el cuello femoral	
Abnormality of the skeletal system	HP:0005921	Abnormal ossification of hand bones		Osificación anormal de huesos de la mano	
Abnormality of the skeletal system	HP:0009105	Abnormal ossification of the pubic bone	Abnormal ossification (bone tissue formation) affecting the pubic bone, also known as the `pubis` (FMA:16595).	Osificación anormal del hueso púbico	
Abnormality of the skeletal system	HP:0007608	Abnormal palmar dermal ridges		Crestas dérmicas palmares anormales	
Abnormality of the skeletal system	HP:0001018	Abnormal palmar dermatoglyphics	An abnormality of the dermatoglyphs, i.e., an abnormality of the patterns of ridges of the `skin of palm of hand` (FMA:38301).	Dermatoglifos palmares anormales	
Abnormality of the skeletal system	HP:0009106	Abnormal pelvis bone ossification	An abnormality of the formation and mineralization of any bone of the `bony pelvis` (FMA:16580).	Anomalía de la osificación ósea de la pelvis	
Abnormality of the skeletal system	HP:0012306	Abnormal rib ossification	An anomaly if the process of rib bone formation.	Osificación torácica anormal	
Abnormality of the skeletal system	HP:0008468	Abnormal sacral segmentation		Segmentación sacra anormal	
Abnormality of the skeletal system	HP:0011863	Abnormal sternal ossification	Any anomaly in the formation of the bony substance of the  `sternum` (FMA:7485).	Osificación esternal anormal	
Abnormality of the skeletal system	HP:0009132	Abnormal tarsal bone mineral density	This term applies to all changes in bone mineral density of the tarsal bones, which (depending on severity) can be seen on x-rays as a change in density and or structure of the bone.	Anomalía de la densidad mineral de los huesos del tarso	
Abnormality of the skeletal system	HP:0008369	Abnormal tarsal ossification	An abnormality of the formation and mineralization of any of the `tarsal bones` (FMA:71339), seven bones of the foot comprising the calcaneus, talus, cuboid, navicular, and the cuneiform bones.	Osificación anormal de los huesos del tarso	
Abnormality of the skeletal system	HP:0100261	Abnormal tendon morphology	An abnormality of the structure or form of the `tendons` (FMA:9721), also often called sinews.	Morfología del tendón anormal	
Abnormality of the skeletal system	HP:0100671	Abnormal trabecular bone morphology	Abnormal structure or form of `trabecular bone` (FMA:24019).	Morfología anormal ósea trabecular	
Abnormality of the skeletal system	HP:0100569	Abnormal vertebral ossification	An abnormality of the formation and mineralization of one or more vertebrae.	Osificación vertebral anormal	
Abnormality of the skeletal system	HP:0005640	Abnormal vertebral segmentation and fusion		Segmentación y fusión vertebral anormal	
Abnormality of the skeletal system	HP:0005926	Abnormalities of the cortex of hand bones		Anomalías de la corteza de los huesos de la mano	
Abnormality of the skeletal system	HP:0005925	Abnormalities of the diaphyses of the hand		Anomalías de las diáfisis de la mano	
Abnormality of the skeletal system	HP:0005923	Abnormalities of the metaphyses of the hand		Anomalías de las metáfisis de la mano	
Abnormality of the skeletal system	HP:0006505	Abnormality involving the epiphyses of the limbs		Anomalía de las epífisis de las extremidades	
Abnormality of the skeletal system	HP:0006500	Abnormality involving the epiphyses of the lower limbs		Anomalía involucrando las epífisis de los miembros inferiores	
Abnormality of the skeletal system	HP:0003839	Abnormality involving the epiphyses of the upper limbs		Anomalía de las epífisis de los miembros superiores	
Abnormality of the skeletal system	HP:0004348	Abnormality of bone mineral density	This term applies to all changes in bone mineral density which (depending on severity) can be seen on x-rays as a change in density and or structure of the bone. Changes may affect all bones of the organism, just certain bones or only parts of bones and include decreased mineralisation as may be seen in osteoporosis or increased mineralisation and or ossification as in osteopetrosis, exostoses or any kind of atopic calicfications of different origin and distribution. The overall amount of mineralization of the bone-organ can be measured as the amount of matter per cubic centimeter of bones, usually measured by densitometry of the lumbar spine or hip. The measurements are usually reported as g/cm3 or as a Z-score (the number of standard deviations above or below the mean for the patient's age and sex). Note that measurement with this method does not reflect local changes in other bones, and as such might not be correct with regard the hole bone-organ.	Anomalía de la densidad mineral ósea	
Abnormality of the skeletal system	HP:0006257	Abnormality of carpal bone ossification		Anomalía de osificación de los huesos carpianos	
Abnormality of the skeletal system	HP:0011297	Abnormality of digit	A morphological abnormality of a `digit` (FMA:85518), i.e., of a finger or toe.	Anomalía de los dedos de la mano	
Abnormality of the skeletal system	HP:0100270	Abnormality of dorsoventral patterning of the limbs	An abnormality resulting from a defect or disruption of dorsoventral patterning that normally happens during early development of the limbs. A disruption of the normal development of the dorsoventral axis may lead to a variable spectrum of different phenotypic abnormalities that may affect the nails and or palmar and dorsal side of the hands and/or feet, ultimately changing the normal dorsoventral appearance of the affected limbs.	Anomalía del patrón dorsoventral de las extremidades	
Abnormality of the skeletal system	HP:0006499	Abnormality of femoral epiphyses		Anomalía de las epífisis femorales	
Abnormality of the skeletal system	HP:0010593	Abnormality of fibular epiphyses		Anomalía de las epífisis de peroné	
Abnormality of the skeletal system	HP:0001167	Abnormality of finger	An anomaly of a `finger` (FMA:9666).	Anomalía del dedo de la mano	
Abnormality of the skeletal system	HP:0006256	Abnormality of hand joint mobility		Anomalía de la movilidad articular de la mano	
Abnormality of the skeletal system	HP:0011729	Abnormality of joint mobility	An abnormality in the range and ease of motion of joints across their normal range.	Anomalía de la movilidad articular	
Abnormality of the skeletal system	HP:0002813	Abnormality of limb bone morphology	Any abnormality of bones of the arms or legs.	Anomalía de la morfología ósea de las extremidades	
Abnormality of the skeletal system	HP:0011314	Abnormality of long bone morphology	An abnormality of size or shape of the `long bones` (FMA:7474).	Anomalía de la morfología de los huesos largos	
Abnormality of the skeletal system	HP:0006490	Abnormality of lower-limb metaphyses		Anomalía de metáfisis de miembros inferiores	
Abnormality of the skeletal system	HP:0005913	Abnormality of metacarpal epiphyses		Anomalía de las epífisis de los metacarpianos	
Abnormality of the skeletal system	HP:0011911	Abnormality of metacarpophalangeal joint	An anomaly of a `metacarpophalangeal joint` (FMA:35246).	Anomalía de la articulación metacarpofalángica	
Abnormality of the skeletal system	HP:0010630	Abnormality of metatarsal epiphysis	Any abnormality of a `metatarsal bone epiphysis` (FMA:33814).	Anomalía de epífisis de los metatarsianos	
Abnormality of the skeletal system	HP:0002644	Abnormality of pelvic girdle bone morphology	An abnormality of the `bony pelvic girdle` (FMA:61412), which is a ring of bones connecting the vertebral column to the femurs.	Anomalía de la morfología ósea de la cintura pélvica	
Abnormality of the skeletal system	HP:0006261	Abnormality of phalangeal joints of the hand		Anomalía de las articulaciones de las falanges de la mano	
Abnormality of the skeletal system	HP:0005918	Abnormality of phalanx of finger	Abnormalities affecting the `phalanx of finger` (FMA:23914).	Anomalía de las falanges de los dedos de la mano	
Abnormality of the skeletal system	HP:0010324	Abnormality of phalanx of the 2nd toe	An anomaly of a `phalanx of second toe` (FMA:32899).	Anomalía de la falange del segundo dedo del pie	
Abnormality of the skeletal system	HP:0004027	Abnormality of radial diaphysis	An anomaly of the `radial diaphysis` (FMA:33782).	Anomalía de la diáfisis radial	
Abnormality of the skeletal system	HP:0003999	Abnormality of radial epiphyses		Anomalía de las epífisis radial	
Abnormality of the skeletal system	HP:0004015	Abnormality of radial metaphyses		Anomalía de metáfisis radial	
Abnormality of the skeletal system	HP:0000927	Abnormality of skeletal maturation	The bones of the skeleton undergo a series of characteristic changes in size, shape, and calcification from fetal life until puberty. An abnormality of this process can include delayed or accelerated skeletal maturation, or deviation of some, but not all bones from the expected patterns of maturation.	Anomalía de la maduración esquelética	
Abnormality of the skeletal system	HP:0011842	Abnormality of skeletal morphology	An abnormality of the form, structure, or size of the `skeletal system` (FMA:23881).	Anomalía de la morfología esquelética	
Abnormality of the skeletal system	HP:0011843	Abnormality of skeletal physiology	An abnormality of the function of the `skeletal system` (FMA:23881).	Anomalía de la fisiología ósea	
Abnormality of the skeletal system	HP:0010009	Abnormality of the 1st metacarpal	A structural anomaly of the first metacarpal.	Anomalía del primer metacarpiano	
Abnormality of the skeletal system	HP:0004100	Abnormality of the 2nd finger	An anomaly of the `second finger` (FMA:24946), also known as the index finger.	Anomalía del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010010	Abnormality of the 2nd metacarpal	Any abnormality of the second metacarpal bone.	Anomalía del segundo metacarpiano	
Abnormality of the skeletal system	HP:0010319	Abnormality of the 2nd toe	An anomaly of the `second toe`(FMA:25048).	Anomalía del segundo dedo del pie	
Abnormality of the skeletal system	HP:0004150	Abnormality of the 3rd finger	An anomaly of the `third finger` (FMA:24947).	Anomalía del tercero dedo de la mano	
Abnormality of the skeletal system	HP:0010011	Abnormality of the 3rd metacarpal	Any abnormality of the third metacarpal bone.	Anomalía del tercer metacarpiano	
Abnormality of the skeletal system	HP:0010320	Abnormality of the 3rd toe	An anomaly of the `third toe`(FMA:25051).	Anomalía del tercer dedo del pie	
Abnormality of the skeletal system	HP:0004188	Abnormality of the 4th finger		Anomalía del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0010012	Abnormality of the 4th metacarpal	Any abnormality of the fourth metacarpal bone.	Anomalía del cuarto metacarpiano	
Abnormality of the skeletal system	HP:0010321	Abnormality of the 4th toe	An anomaly of the `fourth toe` (FMA:25052).	Anomalía del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0004207	Abnormality of the 5th finger	An abnormality affecting one or both 5th fingers.	Anomalía del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0010013	Abnormality of the 5th metacarpal	Any abnormality of the fifth metacarpal bone.	Anomalía del quinto metacarpiano	
Abnormality of the skeletal system	HP:0010322	Abnormality of the 5th toe	An anomaly of the `little toe`(FMA:25053).	Anomalía del quinto dedo del pie	
Abnormality of the skeletal system	HP:0005109	Abnormality of the Achilles tendon	An abnormality of the `Achilles tendon` (FMA:51061).	Anomalía del tendón de Aquiles	
Abnormality of the skeletal system	HP:0003170	Abnormality of the acetabulum	An abnormality of the acetabulum, i.e., the `Acetabular part of hip bone` (FMA:16579), which together with the head of the femur forms the hip joint.	Anomalía del acetábulo	
Abnormality of the skeletal system	HP:0003028	Abnormality of the ankles		Anomalía de los tobillos	
Abnormality of the skeletal system	HP:0008364	Abnormality of the calcaneus	An abnormality of the `calcaneus`(FMA:24496), also known as the heel bone, one of the or heel bone, one of the components of the tarsus of the foot which make up the heel.	Anomalía del calcáneo	
Abnormality of the skeletal system	HP:0002981	Abnormality of the calf	An abnormality of the `calf` (FMA:24984), i.e. of the posterior part of the lower leg.	Anomalía de la pantorrilla	
Abnormality of the skeletal system	HP:0001430	Abnormality of the calf musculature		Anomalía de la musculatura de la pantorrilla	
Abnormality of the skeletal system	HP:0004262	Abnormality of the capitate bone		Anomalía del hueso grande	
Abnormality of the skeletal system	HP:0001191	Abnormality of the carpal bones	An abnormality affecting the carpal bones of the wrist (scaphoid, lunate, triquetral, pisiform, trapezium, trapezoid, capitate, hamate).	Anomalía de los huesos del carpo	
Abnormality of the skeletal system	HP:0003319	Abnormality of the cervical spine	Any abnormality of the `cervical vertebral column` (FMA:24138).	Anomalía de la columna cervical	
Abnormality of the skeletal system	HP:0000889	Abnormality of the clavicles	Any abnormality of the clavicles (collar bones).	Anomalía de las clavículas	
Abnormality of the skeletal system	HP:0008519	Abnormality of the coccyx	An abnormality of the `coccyx` (FMA:20229).	Anomalía del coxis	
Abnormality of the skeletal system	HP:0010629	Abnormality of the cortex of the humerus	Any abnormality affecting the cortex of the humerus.	Anomalía de la corteza del húmero	
Abnormality of the skeletal system	HP:0000919	Abnormality of the costochondral junction	Any anomaly of the `costochondral junction` (FMA:7956). The costochondral junctions are located between the distal part of the ribs and the costal cartilages, which are bars of hyaline cartilage that connect the ribs to the sternum.	Anomalía de la unión costocondral	
Abnormality of the skeletal system	HP:0010674	Abnormality of the curvature of the vertebral column	The presence of an `abnormal` (PATO:0000460) `curvature` (PATO:0001591) of the `vertebral column` (FMA:13478).	Anomalía de la curvatura de la columna vertebral	
Abnormality of the skeletal system	HP:0003889	Abnormality of the deltoid tuberosities		Anomalía de la tuberosidad deltoides	
Abnormality of the skeletal system	HP:0010590	Abnormality of the distal femoral epiphysis	Any abnormality of the `distal epiphysis of the femur` (FMA:32844).	Anomalía de la epífisis femoral distal	
Abnormality of the skeletal system	HP:0010595	Abnormality of the distal fibular epiphysis	Any abnormality of the distal epiphysis of the fibula.	Anomalía de la epífisis distal del peroné	
Abnormality of the skeletal system	HP:0010599	Abnormality of the distal humeral epiphysis	Any abnormality of the distal epiphysis of the humerus.	Anomalía de la epífisis distal del húmero	
Abnormality of the skeletal system	HP:0010182	Abnormality of the distal phalanges of the toes		Anomalía de las falanges distales de los dedos de los pies	
Abnormality of the skeletal system	HP:0009832	Abnormality of the distal phalanx of finger	Any anomaly of `distal phalanx of finger` (FMA:75818).	Anomalía de la falange distal de dedos de la mano	
Abnormality of the skeletal system	HP:0009542	Abnormality of the distal phalanx of the 2nd finger		Anomalía de la falange distal del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010356	Abnormality of the distal phalanx of the 2nd toe		Anomalía de la falange distal del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009357	Abnormality of the distal phalanx of the 3rd finger		Anomalía de la falange distal del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0010368	Abnormality of the distal phalanx of the 3rd toe		Anomalía de la falange distal del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009282	Abnormality of the distal phalanx of the 4th finger		Anomalía de la falange distal del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0010380	Abnormality of the distal phalanx of the 4th toe		Anomalía de la falange distal del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0004225	Abnormality of the distal phalanx of the 5th finger	Abnormality of the distal phalanx of the 5th (little) finger.	Anomalía de la falange distal del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0010392	Abnormality of the distal phalanx of the 5th toe		Anomalía de la falange distal del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010053	Abnormality of the distal phalanx of the hallux		Anomalía de la falange distal del dedo gordo del pie	
Abnormality of the skeletal system	HP:0009617	Abnormality of the distal phalanx of the thumb	Any anomaly of the `distal phalanx of thumb` (FMA:23945).	Anomalía de la falange distal del pulgar	
Abnormality of the skeletal system	HP:0010597	Abnormality of the distal radial epiphysis	Any abnormality of the distal epiphysis of the radius.	Anomalía de la epífisis distal del radio	
Abnormality of the skeletal system	HP:0010592	Abnormality of the distal tibial epiphysis		Anomalía de la epífisis tibial distal	
Abnormality of the skeletal system	HP:0010600	Abnormality of the distal ulnar epiphysis	Any abnormality of the distal epiphysis of the ulna.	Anomalía de la epífisis distal del cúbito	
Abnormality of the skeletal system	HP:0009811	Abnormality of the elbow		Anomalía del codo	
Abnormality of the skeletal system	HP:0003949	Abnormality of the elbow metaphyses		Anomalía de las metáfisis de codo	
Abnormality of the skeletal system	HP:0005930	Abnormality of the epiphyses	An anomaly of epiphysis, which is the expanded articular end of a long bone that developes from a secondary ossification center, and which during the period of growth is either entirely cartilaginous or is separated from the shaft by a cartilaginous disk.	Anomalía de la epífisis	
Abnormality of the skeletal system	HP:0006263	Abnormality of the epiphyses of the 2nd finger	Abnormality of one or all of the epiphyses of the proximal, middle, and distal phalanges of the 2nd finger.	Anomalía de las epífisis del segundo dedo de la mano	
Abnormality of the skeletal system	HP:0010323	Abnormality of the epiphyses of the 2nd toe		Anomalía de las epífisis del segundo dedo del pie	
Abnormality of the skeletal system	HP:0009320	Abnormality of the epiphyses of the 3rd finger	Abnormality of one or all of the epiphyses of the proximal, middle, and distal phalanges of the 3rd finger.	Anomalía de la epífisis del tercer dedo de la mano	
Abnormality of the skeletal system	HP:0010329	Abnormality of the epiphyses of the 3rd toe		Anomalía de la epífisis del tercer dedo del pie	
Abnormality of the skeletal system	HP:0009174	Abnormality of the epiphyses of the 4th finger	Abnormality of one or all of the epiphyses of the proximal, middle, and distal phalanges of the 4th finger.	Anomalía de las epífisis del cuarto dedo de la mano	
Abnormality of the skeletal system	HP:0010335	Abnormality of the epiphyses of the 4th toe		Anomalía de las epífisis del cuarto dedo del pie	
Abnormality of the skeletal system	HP:0009152	Abnormality of the epiphyses of the 5th finger	Abnormality of one or all of the epiphyses of the proximal, middle, and distal phalanges of the 5th finger.	Anomalía de las epífisis del quinto dedo de la mano	
Abnormality of the skeletal system	HP:0010341	Abnormality of the epiphyses of the 5th toe		Anomalía de las epífisis del quinto dedo del pie	
Abnormality of the skeletal system	HP:0010243	Abnormality of the epiphyses of the distal phalanx of finger	Any anomal of `distal epiphysis of phalanx of finger` (FMA:226577).	Anomalía de la epífisis de la falange distal de dedo de la mano	
Abnormality of the skeletal system	HP:0003946	Abnormality of the epiphyses of the elbow		Anomalía de las epífisis del codo	
Abnormality of the skeletal system	HP:0010631	Abnormality of the epiphyses of the feet	Any abnormality of the epiphyses of the feet.	Anomalía de las epífisis de los pies	
Abnormality of the skeletal system	HP:0010056	Abnormality of the epiphyses of the hallux		Anomalía de las epífisis del dedo gordo del pie	
Abnormality of the skeletal system	HP:0005924	Abnormality of the epiphyses of the hand	Any abnormality of the epiphyses of the phalanges or metacarpal bones.	Anomalía de la epífisis de la mano	
Abnormality of the skeletal system	HP:0010244	Abnormality of the epiphyses of the middle phalanges of the hand		Anomalía de las epífisis de las falanges medias de la mano	
Abnormality of the skeletal system	HP:0005920	Abnormality of the epiphyses of the phalanges of the hand	Abnormality of one or all of the epiphyses of the phalanges of the hand. Note that this includes the epiphysis of the 1st metacarpal. In contrast to the metacarpals 2-5, the first metacarpal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the digits 2-5 (whereas the proximal phalanx of the thumb is equivalent to the middle phalanges of the other digits).	Anomalía de las epífisis de las falanges de la mano	
Abnormality of the skeletal system	HP:0010245	Abnormality of the epiphyses of the proximal phalanges of the hand		Anomalía de las epífisis de las falanges proximales de la mano	
Abnormality of the skeletal system	HP:0010160	Abnormality of the epiphyses of the toes		Anomalía de las epífisis de los dedos de los pies	
Abnormality of the skeletal system	HP:0010014	Abnormality of the epiphysis of the 1st metacarpal	In contrast to the metacarpals 2-5, the first metacarpal is embryologically of phalangeal origin and as such equivalent to the proximal phalanges of the digits 2-5 (whereas the proximal phalanx of the thumb is equivalent to the middle phalanges of the other digits). The epiphysis of the first metacarpal is localized at the proximal end (as seen in the proximal phalanges of the other digits), whereas the epiphyses of the other metacarpal bones are located at the distal end. This term applies if the epiphysis of the 1st metacarpal is in any way abnormal, referring to age and gender depending norms, as seen on x-rays.	Anomalía de la epífisis del primer metacarpiano	
