HPO ID	English term	Italian term
HP:0000075	Renal duplication	duplicazione renale
HP:0000076	Vesicoureteral reflux	reflusso vescico-ureterale
HP:0000077	Abnormality of the kidney	anomalia del rene
HP:0000078	Abnormality of the genital system	anomalia dell'apparato genitale
HP:0000079	Abnormality of the urinary system	anormalità del sistema urinario
HP:0000080	Abnormality of genital physiology	anomalia della fisiologia genitale
HP:0000081	Duplicated collecting system	duplicazione del sistema collettore renale
HP:0000082	Abnormality of renal physiology	anomalia della fisiologia renale
HP:0000083	Renal insufficiency	insufficienza renale
HP:0000085	Horseshoe kidney	rene a ferro di cavallo
HP:0000086	Ectopic kidney	rene ectopico
HP:0000089	Renal hypoplasia	ipoplasia renale
HP:0000090	Nephronophthisis	nefronoftisi
HP:0000091	Abnormality of the renal tubule	anomalia del tubulo renale
HP:0000092	Tubular atrophy	atrofia tubulare
HP:0000093	Proteinuria	proteinuria
HP:0000095	Morphological abnormalities of the glomeruli	anomalie morfologiche dei glomeruli
HP:0000096	Glomerulosclerosis	glomerulosclerosi
HP:0000097	Focal segmental glomerulosclerosis	glomerulosclerosis segmentale focale
HP:0000098	Tall stature	alta statura
HP:0000099	Glomerulonephritis	glomerulonefrite
HP:0000100	Nephrotic syndrome	sindrome nefrosica
HP:0000103	Polyuria	poliuria
HP:0000104	Renal agenesis	agenesia renale
HP:0000105	Enlarged kidneys	reni allargati
HP:0000106	Progressive renal insufficiency	insufficienza renale progressiva
HP:0000107	Renal cysts	cisti renale
HP:0000108	Renal corticomedullary cysts	cisti renale corticomedullare
HP:0000110	Renal dysplasia	displasia renale
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	ipertrofia/iperplasia delle cellule giusta-glomerulari renali
HP:0000112	Nephropathy	nefropatia
HP:0000113	Polycystic kidney dysplasia	displasia renale policistica
HP:0000114	Proximal tubulopathy	tubulopatia prossimale
HP:0000117	Renal phosphate wasting	perdita renale di fosfato
HP:0000118	Phenotypic abnormality	anormalità fenotipiche
HP:0000119	Abnormality of the genitourinary system	anomalia del sistema urogenitale
HP:0000120	Reduced creatinine clearance	ridotta clearance della creatinina
HP:0000121	Nephrocalcinosis	nefrocalcinosi
HP:0000122	Unilateral renal agenesis	agenesia renale monolaterale
HP:0000123	Nephritis	nefrite
HP:0000124	Renal tubular dysfunction	disfunzione tubulare renale
HP:0000125	Pelvic kidney	rene pelvico
HP:0000126	Hydronephrosis	idronefrosi
HP:0000127	Renal salt wasting	perdita renale di sali
HP:0000128	Renal potassium wasting	perdita renale di potassio
HP:0000130	Abnormality of the uterus	anomalia dell'utero
HP:0000131	Uterine leiomyoma	leiomioma uterino
HP:0000132	Menorrhagia	menorragia
HP:0000133	Gonadal dysgenesis	disgenesia gonadica
HP:0000134	Female hypogonadism	ipogonadismo femminile
HP:0000135	Hypogonadism	ipogonadismo
HP:0000136	Bifid uterus	utero bifido
HP:0000137	Abnormality of the ovary	anomalia delle ovaie
HP:0000138	Ovarian cysts	cisti ovariche
HP:0000139	Uterine prolapse	prolasso uterino
HP:0000140	Abnormality of the menstrual cycle	anomalia del ciclo mestruale
HP:0000141	Amenorrhea	amenorrea
HP:0000142	Abnormality of the vagina	anomalia della vagina
HP:0000143	Rectovaginal fistula	fistola rettovaginale
HP:0000144	Decreased fertility	diminuita fertilità
HP:0000145	Transverse vaginal septum	setto vaginale trasversale
HP:0000147	Polycystic ovaries	ovaio policistico
HP:0000148	Vaginal atresia	atresia vaginale
HP:0000149	Ovarian gonadoblastoma	gonadoblastoma ovarico
HP:0000150	Gonadoblastoma	gonadoblastoma
HP:0000151	Aplasia of the uterus	aplasia dell'utero
HP:0000152	Abnormality of head and neck	anomalia della testa e del collo
HP:0000153	Abnormality of the mouth	anomalia della bocca
HP:0000154	Wide mouth	bocca larga
HP:0000155	Oral ulcer	ulcera orale
HP:0000157	Abnormality of the tongue	anomalia della lingua
HP:0000158	Macroglossia	macroglossia
HP:0000159	Abnormality of the lip	anomalia del labbro
HP:0000160	Narrow mouth	bocca stretta
HP:0000161	Median cleft lip	labioschisi mediana
HP:0000162	Glossoptosis	glossoptosi
HP:0000163	Abnormality of the oral cavity	anomalia della cavità orale
HP:0000164	Abnormality of the teeth	anomalia dei denti
HP:0000166	Severe periodontitis	periodontite severa
HP:0000168	Abnormality of the gingiva	anomalia della gengiva
HP:0000169	Gingival fibromatosis	Fibromatosi gengivale
HP:0000171	Microglossia	microglossia
HP:0000172	Abnormality of the uvula	anomalia dell'uvula
HP:0000174	Abnormality of the palate	anomalia del palato
HP:0000175	Cleft palate	palatoschisi
HP:0000176	Submucous cleft hard palate	palatoschisi dura submucosa
HP:0000177	Abnormality of upper lip	anomalia del labbro superiore
HP:0000178	Abnormality of lower lip	anomalia del labbro inferiore
HP:0000179	Thick lower lip vermilion	vermiglio del labbro inferiore ingrossato
HP:0000180	Lobulated tongue	lingua lobulata
HP:0000182	Movement abnormality of the tongue	anomalia di movimento della lingua
HP:0000183	Difficulty in tongue movements	difficoltà nei movimenti della lingua
HP:0000185	Cleft soft palate	palatoschisi molle
HP:0000187	Broad alveolar ridges	ampie creste alveolari
HP:0000188	Short upper lip	labbro superiore breve
HP:0000189	Narrow palate	palato ristretto
HP:0000190	Abnormality of oral frenula	anomalia di frenuli orali
HP:0000191	Accessory oral frenulum	frenulo orale accessorio
HP:0000193	Bifid uvula	ugola bifida
HP:0000194	Open mouth	bocca aperta
HP:0000196	Lower lip pit	fossa del labbro inferiore
HP:0000197	Abnormality of parotid gland	anomalia della ghiandola parotide
HP:0000198	Absence of Stensen duct	assenza del dotto di Stensen
HP:0000199	Tongue nodules	noduli linguali
HP:0000200	Short lingual frenulum	frenulo corto della lingua
HP:0000201	Pierre-Robin sequence	sequenza di Pierre Robin
HP:0000202	Oral cleft	schisi orale
HP:0000204	Cleft upper lip	schisi labbro superiore
HP:0000205	Pursed lips	contratte labbra
HP:0000206	Glossitis	glossite
HP:0000207	Triangular mouth	bocca triangolare
HP:0000211	Trismus	trisma
HP:0000212	Gingival overgrowth	crescita eccessiva delle gengive
HP:0000213	Thin lips	labbra sottili
HP:0000214	Lip telangiectasia	teleangiectasia  del labbro
HP:0000215	Thick upper lip vermilion	vermiglio del labbro superiore spessore
HP:0000216	Broad secondary alveolar ridge	ampia cresta alveolare secondaria
HP:0000217	Xerostomia	xerostomia
HP:0000218	High palate	palato alto
HP:0000219	Thin upper lip vermilion	vermiglio sottile del labbro superiore
HP:0000220	Velopharyngeal insufficiency	insufficienza velofaringea
HP:0000221	Furrowed tongue	lingua solcata
HP:0000222	Gingival hyperkeratosis	ipercheratosi gengivale
HP:0000223	Abnormality of taste sensation	anomalia della sensazione del gusto
HP:0000224	Decreased taste sensation	diminuita sensazione del gusto
HP:0000225	Gingival bleeding	sanguinamento gengivale
HP:0000227	Tongue telangiectasia	teleangiectasia della lingua
HP:0000228	Oral cavity teleangiectasia	teleangiectasia ereditaria della cavità orale
HP:0000230	Gingivitis	gengivite
HP:0000232	Everted lower lip vermilion	vermiglio estroflesso del labbro inferiore
HP:0000233	Thin vermilion border	bordo vermiglio sottile
HP:0000234	Abnormality of the head	anomalia della testa
HP:0000235	Abnormality of the fontanelles and cranial sutures	anomalia delle fontanelle e delle suture craniche
HP:0000236	Abnormality of the anterior fontanelle	anomalia della fontanella anteriore
HP:0000237	Small anterior fontanelle	piccola fontanella anteriore
HP:0000238	Hydrocephalus	idrocefalo
HP:0000239	Large fontanelles	grandi fontanelle
HP:0000240	Abnormality of skull size	anomalia delle dimensioni del cranio
HP:0000242	Parietal bossing	bozze parietali
HP:0000243	Trigonocephaly	trigonocefalia
HP:0000244	Brachyturricephaly	brachiturricefalia
HP:0000245	Abnormality of the sinuses	anormalità dei seni
HP:0000246	Sinusitis	sinusite
HP:0000248	Brachycephaly	brachicefalia
HP:0000250	Dense calvaria	calvaria densa
HP:0000252	Microcephaly	microcefalia
HP:0000253	Progressive microcephaly	microcefalia progressiva
HP:0000255	Acute sinusitis	sinusite acuta
HP:0000256	Macrocephaly	macrocefalia
HP:0000260	Wide anterior fontanel	ampia fontanella anteriore
HP:0000262	Turricephaly	turricefalia
HP:0000263	Oxycephaly	ossicefalia
HP:0000264	Abnormality of the mastoid	anomalia del mastoide
HP:0000265	Mastoiditis	mastoidite
HP:0000267	Cranial asymmetry	asimmetria cranica
HP:0000268	Dolichocephaly	dolicocefalia
HP:0000269	Prominent occiput	occipite prominente
HP:0000270	Delayed cranial suture closure	ritardo nella chiusura della sutura cranica
HP:0000271	Abnormality of the face	anomalia del viso
HP:0000272	Malar flattening	appiattimento malare
HP:0000273	Facial grimacing	smorfie facciali
HP:0000274	Small face	viso piccolo
HP:0000275	Narrow face	viso stretto
HP:0000276	Long face	viso lungo
HP:0000277	Abnormality of the mandible	anomalia della mandibola
HP:0000278	Retrognathia	retrognazia
HP:0000280	Coarse facial features	lineamenti grossolani
HP:0000282	Facial edema	edema facciale
HP:0000283	Broad face	faccia larga
HP:0000284	Abnormality of the ocular region	anomalia della regione ocularie
HP:0000286	Epicanthus	epicanto
HP:0000287	Increased facial adipose tissue	aumento di tessuto adiposo facciale
HP:0000288	Abnormality of the philtrum	anomalia del philtrum
HP:0000289	Broad philtrum	ampio philtrum
HP:0000290	Abnormality of the forehead	anomalia della fronte
HP:0000291	Abnormality of facial adipose tissue	anomalia del tessuto adiposo facciale
HP:0000292	Loss of facial adipose tissue	perdita di tessuto adiposo facciale
HP:0000293	Full cheeks	guance carnose
HP:0000294	Low anterior hairline	attaccatura anteriore dei capelli bassa
HP:0000295	Doll-like facies	facies tipo bambola
HP:0000297	Facial hypotonia	ipotonia facciale
HP:0000298	Mask-like facies	facies come mascherina
HP:0000300	Oval face	viso ovale
HP:0000301	Abnormality of facial musculature	anomalia della muscolatura facciale
HP:0000303	Mandibular prognathia	prognatia mandibolare
HP:0000306	Abnormality of the chin	anomalia del mento
HP:0000307	Pointed chin	mento appuntito
HP:0000308	Microretrognathia	microretrognazia
HP:0000309	Abnormality of the midface	anomalia della porzione centrale della faccia
HP:0000311	Round face	faccia rotondda
HP:0000315	Abnormality of the orbital region	anomalia della regione orbitale
HP:0000316	Hypertelorism	ipertelorismo
HP:0000317	Facial myokymia	miochimia facciale
HP:0000319	Smooth philtrum	philtrum liscio
HP:0000320	Bird-like facies	facies come uccello
HP:0000321	Square face	viso quadrato
HP:0000322	Short philtrum	philtrum corto
HP:0000324	Facial asymmetry	asimmetria facciale
HP:0000325	Triangular face	viso triangolare
HP:0000326	Abnormality of the maxilla	anomalia della mascella superiore
HP:0000327	Hypoplasia of the maxilla	ipoplasia della mascella superiore
HP:0000329	Facial hemangioma	emangioma facciale
HP:0000331	Small chin	mento piccolo
HP:0000336	Prominent supraorbital ridges	creste sopraorbitali prominenti
HP:0000337	Broad forehead	fronte ampia
HP:0000338	Hypomimic face	viso ipomimico
HP:0000339	Pugilistic facies	facies pugilistico
HP:0000340	Sloping forehead	fronte sfuggente
HP:0000341	Narrow forehead	fronte stretta
HP:0000343	Long philtrum	philtrum lungo
HP:0000346	Whistling appearance	comparsa di acufeni
HP:0000347	Micrognathia	micrognatia
HP:0000348	High forehead	fronte alta
HP:0000349	Widow's peak	attaccatura capelli a V
HP:0000350	Small forehead	fronte piccola
HP:0000356	Abnormality of the outer ear	anomalia dell'orecchio esterno
HP:0000357	Abnormal location of ears	anomala posizione delle orecchie
HP:0000358	Posteriorly rotated ears	orecchie ruotate posteriormente
HP:0000359	Abnormality of the inner ear	anomalia dell'orecchio interno
HP:0000360	Tinnitus	tinnito
HP:0000361	Pulsatile tinnitus (tympanic paraganglioma)	tinnito pulsante (paraganglioma timpanico)
HP:0000362	Otosclerosis	otosclerosi
HP:0000363	Abnormality of earlobe	anomalia del lobo dell'orecchio
HP:0000364	Hearing abnormality	anomalia dell'udito
HP:0000365	Hearing impairment	indebolimento dell'udito
HP:0000366	Abnormality of the nose	anomalia del naso
HP:0000368	Low-set, posteriorly rotated ears	orecchie basse ruotate posteriormente
HP:0000369	Low-set ears	orecchie basse 
HP:0000370	Abnormality of the middle ear	anomalia dell'orecchio medio
HP:0000371	Acute otitis media	otite media acuta
HP:0000372	Abnormality of the auditory canal	anomalia del canale uditivo
HP:0000375	Abnormality of cochlea	anomalia della coclea
HP:0000376	Incomplete partition of the cochlea type II	partizione incompleta della coclea di tipo II
HP:0000377	Abnormality of the pinna	anomalia della pinna
HP:0000378	Cupped ear	orecchio concavo
HP:0000381	Stapes ankylosis	anchilosi della staffa
HP:0000383	Abnormality of periauricular region	anomalia della regione periauricolare
HP:0000384	Preauricular skin tag	modifica preauricular della pelle
HP:0000385	Small earlobe	lobo dell'orecchio piccolo
HP:0000387	Absent earlobe	lobo dell'orecchio assente
HP:0000388	Otitis media	otite media
HP:0000389	Chronic otitis media	otite media cronica
HP:0000391	Thickened helices	eliche ispessite
HP:0000394	Lop ear	orecchio pendente
HP:0000395	Prominent antihelix	antielica prominente
HP:0000396	Overfolded helix	elica ripiegata
HP:0000399	Prelingual sensorineural hearing impairment	sordità neurosensoriale prelinguale
HP:0000400	Macrotia	macrotia
HP:0000402	Stenosis of the external auditory canal	stenosi del canale uditivo esterno
HP:0000403	Recurrent otitis media	otiti ricorrenti
HP:0000405	Conductive hearing impairment	indebolimento dell'udito conduttivo
HP:0000407	Sensorineural hearing impairment	sordità neurosensoriale
HP:0000408	Progressive sensorineural hearing impairment	ipoacusia neurosensoriale progressiva
HP:0000410	Mixed hearing impairment	indebolimento dell'udito misto
HP:0000411	Protruding ear	orecchio sporgente
HP:0000412	Prominent ears	orecchie prominenti
HP:0000413	Atresia of the external auditory canal	atresia del canale uditivo esterno
HP:0000414	Bulbous nose	naso bulboso
HP:0000415	Abnormality of the choanae	anomalia delle coane
HP:0000417	Slender nose	naso snello
HP:0000418	Narrow nasal ridge	cresta nasale stretta
HP:0000419	Abnormality of the nasal septum	anomalia del setto nasale
HP:0000420	Short nasal septum	setto nasale breve
HP:0000421	Epistaxis	epistassi
HP:0000422	Abnormality of the nasal bridge	anomalia del ponte nasale
HP:0000426	Prominent nasal bridge	ponte nasale prominente
HP:0000429	Abnormality of the nasal alae	anomalia delle ali
HP:0000430	Hypoplastic nasal alae	ipoplasia delle ali
HP:0000431	Wide nasal bridge	ponte nasale largo
HP:0000433	Abnormality of the nasal mucosa	anomalia della mucosa nasale
HP:0000434	Nasal mucosa telangiectasia	teleangiectasia mucosa nasale
HP:0000436	Abnormality of the nasal tip	anomalia della punta nasale
HP:0000437	Depressed nasal tip	punta nasale depressa
HP:0000444	Convex nasal ridge	cresta nasale convessa
HP:0000445	Wide nose	naso largo
HP:0000446	Narrow nasal bridge	ponte nasale stretto
HP:0000447	Pear-shaped nose	naso a forma di pera
HP:0000448	Prominent nose	naso prominente
HP:0000451	Triangular nasal tip	punta del naso triangolare
HP:0000452	Choanal stenosis	stenosi delle coane
HP:0000453	Choanal atresia	atresia delle coane
HP:0000454	Flared nostrils	narici ampie
HP:0000455	Broad nasal tip	punta del naso larga
HP:0000456	Bifid nasal tip	punta del naso bifida
HP:0000457	Flat nose	naso piatto
HP:0000458	Anosmia	anosmia
HP:0000460	Narrow nose	naso stretto
HP:0000462	Nasal polyps	polipi nasali
HP:0000463	Anteverted nares	narici rovesciate
HP:0000464	Abnormality of the neck	anomalia del collo
HP:0000465	Webbed neck	collo reticolato
HP:0000466	Limited neck range of motion	limitata gamma di movimenti del collo
HP:0000467	Neck muscle weakness	debolezza muscolare del collo
HP:0000468	Increased adipose tissue around the neck	aumento del tessuto adiposo intorno al collo
HP:0000470	Short neck	collo breve
HP:0000471	Gastrointestinal angiodysplasia	angiodisplasia gastrointestinale
HP:0000472	Long neck	collo lungo
HP:0000473	Spasmodic torticollis	torcicollo spasmodico
HP:0000474	Thickened nuchal skin fold	piega nucale ispessita
HP:0000475	Broad neck	collo ampio
HP:0000476	Cystic hygroma	igroma cistico
HP:0000478	Abnormality of the eye	anomalia dell'occhio
HP:0000479	Abnormality of the retina	anomalia della retina
HP:0000480	Retinal coloboma	coloboma retinico
HP:0000481	Abnormality of the cornea	anomalia della cornea
HP:0000482	Microcornea	microcornea
HP:0000483	Astigmatism	astigmatismo
HP:0000484	Hyperopic astigmatism	astigmatismo ipermetropico
HP:0000485	Megalocornea	megalocornea
HP:0000486	Strabismus	strabismo
HP:0000487	Congenital strabismus	strabismo congenito
HP:0000488	Retinopathy	retinopatia
HP:0000489	Abnormality of globe location or size	anomalia di dimensione o di posizione del globo
HP:0000490	Deeply set eye	occhi profondamente incavati
HP:0000491	Keratitis	cheratite
HP:0000492	Abnormality of the eyelid	anomalia della palpebra
HP:0000493	Abnormality of the fovea	anomalia della fovea
HP:0000494	Downslanted palpebral fissures	rime palpebrali inclinate
HP:0000495	Recurrent corneal erosions	erosioni corneale ricorrenti
HP:0000496	Abnormality of eye movement	anomalia del movimento dell'occhio
HP:0000497	Globe retraction and deviation on abduction	ritrazione del globo oculare e deviazione dell'abduzione
HP:0000498	Blepharitis	blefarite
HP:0000499	Abnormality of the eyelashes	anomalia delle ciglia
HP:0000501	Glaucoma	glaucoma
HP:0000502	Abnormality of the conjunctiva	anomalia della congiuntiva
HP:0000503	Tortuosity of conjunctival vessels	tortuosità dei vasi congiuntivavali
HP:0000504	Abnormality of vision	anomalia della visione
HP:0000505	Visual impairment	minorazione visiva
HP:0000506	Telecanthus	telecanto
HP:0000508	Ptosis	ptosi
HP:0000509	Conjunctivitis	congiuntivavite
HP:0000510	Retinitis pigmentosa	retinite pigmentosa
HP:0000511	Vertical supranuclear gaze palsy	paralisi verticale sopranucleare dello sguardo
HP:0000512	Abnormal electroretinogram	elettroretinogramma anormale
HP:0000514	Slow saccadic eye movements	movimenti ocularii saccadici rallentati
HP:0000517	Abnormality of the lens	anomalia della lente
HP:0000518	Cataract	cataratta
HP:0000519	Congenital cataract	cataratta congenita
HP:0000520	Proptosis	proptosi
HP:0000522	Alacrima	alacrimia
HP:0000523	Subcapsular cataract	cataratta subcapsulare
HP:0000524	Conjunctival telangiectasia	teleangectasia congiuntivava
HP:0000525	Abnormality of the iris	anomalia dell'iride
HP:0000526	Aniridia	aniridia
HP:0000527	Long eyelashes	ciglia lunghe
HP:0000528	Anophthalmia	anoftalmia
HP:0000529	Progressive visual loss	perdita visiva progressiva
HP:0000531	Corneal crystals	cristalli corneali
HP:0000532	Chorioretinal abnormality	anomalia corioretinica
HP:0000533	Chorioretinal atrophy	atrofia corioretinica
HP:0000534	Abnormality of the eyebrow	anomalia del sopracciglio
HP:0000535	Sparse eyebrow	sopracciglia rade
HP:0000537	Epicanthus inversus	epicanto inverso
HP:0000538	Pseudopapilledema	pseudopapilledema
HP:0000539	Abnormality of refraction	anomalia della rifrazione
HP:0000540	Hypermetropia	ipermetropia
HP:0000541	Retinal detachment	distacco della retina
HP:0000542	Impaired ocular adduction	adduzione ocularie alterata
HP:0000543	Optic disc pallor	pallore del disco ottico
HP:0000544	External ophthalmoplegia	oftalmoplegia esterna
HP:0000545	Myopia	miopia
HP:0000546	Retinal degeneration	degenerazione retinica
HP:0000547	Tapetoretinal degeneration	degenerazione tapetoretinico
HP:0000548	Cone-rod dystrophy	distrofia dei coni-bastoncelli
HP:0000549	Disconjugate eye movements	Nome:movimenti oculari non coniugati
HP:0000550	Abolished electroretinogram (ERG)	elettroretinogramma (ERG) abolito
HP:0000551	Abnormality of color vision	anomalia della visione dei colori
HP:0000552	Tritanomaly	tritanomalia
HP:0000553	Abnormality of the uvea	anomalia dell'uvea
HP:0000554	Uveitis	uveite
HP:0000555	Leukocoria	leucocoria
HP:0000556	Retinal dystrophy	distrofia retinica
HP:0000557	Buphthalmos	buftalmo
HP:0000558	Rieger anomaly	anomalia di Rieger
HP:0000559	Corneal scarring	cicatrizzazione corneale
HP:0000561	Absent eyelashes	ciglia assenti
HP:0000563	Keratoconus	cheratocono
HP:0000564	Lacrimal duct atresia	atresia del dotto lacrimale
HP:0000565	Esotropia	esotropia
HP:0000567	Chorioretinal coloboma	coloboma corioretinico
HP:0000568	Microphthalmos	microftalmo
HP:0000570	Abnormality of saccadic eye movements	anomalia dei movimenti ocularii saccadici
HP:0000571	Hypometric saccades	saccadi ipometriche
HP:0000572	Visual loss	perdita visiva
HP:0000573	Retinal hemorrhage	emorragia retinica
HP:0000574	Thick eyebrow	sopracciglia spesse
HP:0000575	Scotoma	scotoma
HP:0000576	Centrocecal scotoma	scotoma centrocecale
HP:0000577	Exotropia	esotropia
HP:0000579	Nasolacrimal duct obstruction	ostruzione del dotto nasolacrimale
HP:0000580	Pigmentary retinopathy	retinite pigmentosa
HP:0000581	Blepharophimosis	blefarofimosi
HP:0000582	Upslanted palpebral fissure	fessura palpebrale inclinata verso l'alto
HP:0000584	Punctate corneal epithelial erosions	erosioni epiteliali corneali punctuate
HP:0000585	Band keratopathy	cheratopatia a bande
HP:0000586	Shallow orbits	basse orbite
HP:0000587	Abnormality of the optic nerve	anomalia del nervo ottico
HP:0000588	Optic nerve coloboma	coloboma del nervo ottico
HP:0000589	Coloboma	coloboma
HP:0000590	Progressive external ophthalmoplegia	oftalmoplegia esterna progressiva
HP:0000591	Abnormality of the sclera	anomalia della sclera
HP:0000592	Blue sclerae	sclere blu
HP:0000593	Abnormality of the anterior chamber	anomalia della camera anteriore
HP:0000594	Shallow anterior chamber	camera anteriore superficiale
HP:0000597	Ophthalmoparesis	oftalmoparesi
HP:0000598	Abnormality of the ear	anomalia dell'orecchio
HP:0000599	Abnormality of the frontal hairline	anomalia dell'attaccatura dei capelli frontale
HP:0000600	Abnormality of the pharynx	anomalia della faringe
HP:0000601	Hypotelorism	ipotelorismo
HP:0000602	Ophthalmoplegia	oftalmoplegia
HP:0000603	Central scotoma	scotoma centrale
HP:0000605	Supranuclear gaze palsy	paralisi di sguardo Sovranucleare
HP:0000606	Abnormality of the periorbital region	anomalia della regione periorbitale
HP:0000607	Periorbital wrinkles	periorbital rughe
HP:0000608	Macular degeneration	degenerazione maculare
HP:0000609	Optic nerve hypoplasia	ipoplasia del nervo ottico
HP:0000610	Abnormality of the choroid	anomalia della coroide
HP:0000611	Choroid coloboma	coroide coloboma
HP:0000612	Iris coloboma	coloboma dell'iride
HP:0000613	Photophobia	fotofobia
HP:0000614	Abnormality of the nasolacrimal system	anomalia del sistema nasolacrimale
HP:0000615	Abnormality of the pupil	anomalia della pupilla
HP:0000616	Miosis	miosi
HP:0000617	Abnormality of ocular smooth pursuit	anomalie del riflesso di inseguimento
HP:0000618	Blindness	cecità
HP:0000619	Impaired convergence	alterata convergenza
HP:0000620	Dacrocystitis	dacrocistite
HP:0000621	Entropion	entropion
HP:0000622	Blurred vision	visione offuscata
HP:0000623	Supranuclear ophthalmoplegia	oftalmoplegia sopranucleare
HP:0000625	Cleft eyelid	schisi della palpebra
HP:0000627	Posterior embryotoxon	embriotoxon posteriore
HP:0000629	Periorbital fullness	pienezza periorbitale
HP:0000630	Abnormality of retinal arteries	anomalia delle arterie retiniche
HP:0000631	Retinal arterial tortuosity	tortuosità delle arterie retiniche
HP:0000632	Lacrimation abnormality	anomalia di lacrimazione
HP:0000633	Decreased lacrimation	diminuita lacrimazione
HP:0000634	Impaired ocular abduction	ridotta abduzione ocularie
HP:0000635	Blue irides	iride blu
HP:0000636	Upper eyelid coloboma	coloboma palpebrale superiore
HP:0000637	Long palpebral fissure	fenditura palpebrale lunga
HP:0000639	Nystagmus	nistagmo
HP:0000640	Gaze-evoked nystagmus	nistagmo evocato da sguardo fisso
HP:0000641	Dysmetric saccades	saccadi dismetriche
HP:0000642	Red-green dyschromatopsia	rosso-verde discromatopsia
HP:0000643	Blepharospasm	blefarospasmo
HP:0000646	Amblyopia	ambliopia
HP:0000647	Sclerocornea	sclerocornea
HP:0000648	Optic atrophy	atrofia ottica
