CODE	FR_LABEL	TYPE
HP:0000193	Luette bifide	pt
HP:0000193	luette fendue	uf
HP:0000193	fente de la luette	uf
HP:0000193	bifidité de la luette	uf
HP:0000194	Bouche entrouverte	pt
HP:0000194	bouche entrouverte en permanence	uf
HP:0000194	bouche ouverte	uf
HP:0000196	dépression de la lèvre inférieure	pt
HP:0000197	Anomalie de la glande parotide	pt
HP:0000197	Anomalie de la parotide	uf
HP:0000198	Absence de conduit parotidien	pt
HP:0000200	frein lingual court	pt
HP:0000200	frein de la langue court	uf
HP:0000201	syndrome de pierre robin	pt
HP:0000202	Fente labio-palatine	pt
HP:0000202	fente labiale et palatine	uf
HP:0000202	fissure palatine avec bec-de-lièvre	uf
HP:0000202	fente labiale et fente palatine	uf
HP:0000204	Fente labiale	pt
HP:0000204	bec-de-lièvre	uf
HP:0000205	lèvres pincées	pt
HP:0000206	glossite	pt
HP:0000207	Bouche triangulaire	pt
HP:0000208	Fente labiale/palatine submuqueuse	pt
HP:0000209	Anomalie des mâchoires	pt
HP:0000211	trismus	pt
HP:0000212	hypertrophie gingivale	pt
HP:0000213	lèvres fines	pt
HP:0000213	lèvres minces	uf
HP:0000214	télangiectasie des lèvres	pt
HP:0000215	vermillon de la lèvre supérieure épais	pt
HP:0000216	crêtes alvéolaires larges secondairement	pt
HP:0000217	Xérostomie	pt
HP:0000217	sécheresse de la bouche	uf
HP:0000218	palais haut	pt
HP:0000219	vermillon de la lèvre supérieure fin	pt
HP:0000219	lévre supérieure fine	uf
HP:0000220	incompétence vélopharyngée	pt
HP:0000221	langue plicaturée	pt
HP:0000222	Hyperkératose gingivale	pt
HP:0000223	anomalie de la sensation du goût	pt
HP:0000224	diminution de la sensation de goût	pt
HP:0000225	hemorragie gingivale	pt
HP:0000227	télangectiasies de la langue	pt
HP:0000228	télangiectasies de la cavité orale	pt
HP:0000230	Gingivite	pt
HP:0000232	Lèvre inférieure éversée/tombante	pt
HP:0000233	vermillon fin	pt
HP:0000234	Anomalie de la tête	pt
HP:0000235	Anomalie des fontanelles et des sutures crâniennes	pt
HP:0000236	Anomalie de la fontanelle antérieure	pt
HP:0000237	fontanelle antérieure petite	pt
HP:0000238	Hydrocéphalie	pt
HP:0000239	grandes fontanelles	pt
HP:0000240	anomalie de la taille du crâne	pt
HP:0000241	décélération dans la croissance de la tête	pt
HP:0000242	proéminence pariétale	pt
HP:0000243	trigonocéphalie	pt
HP:0000244	Brachyturricéphalie	pt
HP:0000245	Anomalie des sinus	pt
HP:0000246	sinusite	pt
HP:0000248	Brachycéphalie	pt
HP:0000250	Voûte cranienne dense	pt
HP:0000252	microcéphalie	pt
HP:0000252	Microencéphalie	uf
HP:0000252	q02 - microcéphalie	uf
HP:0000253	microcéphalie progressive	pt
HP:0000255	Sinusite aiguë	pt
HP:0000256	macrocéphalie	pt
HP:0000259	microcéphalie acquise	pt
HP:0000260	Fontanelle antérieure élargie	pt
HP:0000262	Oxycéphalie isolée	pt
HP:0000263	oxycéphalie	pt
HP:0000263	acrocéphalie	uf
HP:0000264	anomalie du mastoïde	pt
HP:0000265	mastoïdite	pt
HP:0000267	Assymétrie du crâne	pt
HP:0000268	Dolichocéphalie	pt
HP:0000268	scaphocéphalie	uf
HP:0000269	occiput proéminent	pt
HP:0000270	soudure tardive des fontanelles	pt
HP:0000270	fermeture de fontanelle retardée	uf
HP:0000270	fermeture retardée des sutures crâniennes	uf
HP:0000271	anomalie du visage	pt
HP:0000271	anomalie de la face	uf
HP:0000272	Face plate	pt
HP:0000272	hypoplasie malaire	uf
HP:0000273	grimace faciale	pt
HP:0000274	Face petite	pt
HP:0000275	Face étroite	pt
HP:0000276	Face longue	pt
HP:0000277	Anomalie de la mandibule	pt
HP:0000278	rétrognathie	pt
HP:0000280	Face grossière	pt
HP:0000281	faciès légèrement grossier	pt
HP:0000282	Oedème facial	pt
HP:0000282	oedème de la face	uf
HP:0000283	Face large	pt
HP:0000284	Anomalie de la région oculaire	pt
HP:0000286	Epicanthus	pt
HP:0000286	Plis épicanthaux	uf
HP:0000287	Tissu adipeux facial normal ou augmenté	pt
HP:0000288	anomalie du philtrum	pt
HP:0000290	Anomalie du front	pt
HP:0000291	Anomalie du tissu adipeux facial	pt
HP:0000292	Manque de tissu adipeux facial	pt
HP:0000293	joues pleines	pt
HP:0000294	implantation basse des cheveux sur le front	pt
HP:0000295	faciès ressemblant à une poupée	pt
HP:0000297	hypotonie faciale	pt
HP:0000297	hypotonie de la face	uf
HP:0000298	facies fige	pt
HP:0000298	amimie	uf
HP:0000300	face ovale	pt
HP:0000301	anomalie de la musculature faciale	pt
HP:0000301	anomalie de la musculature de la face	uf
HP:0000301	anomalie des muscles de la face	uf
HP:0000301	anomalie des muscles faciaux	uf
HP:0000303	Prognathisme mandibulaire	pt
HP:0000303	prognathisme inférieur	uf
HP:0000303	Prognathisme de la mandibule	uf
HP:0000303	prognathisme	uf
HP:0000304	face pleine arrondie	pt
HP:0000305	philtrum proéminent	pt
HP:0000306	Anomalie du menton	pt
HP:0000307	Menton pointu	pt
HP:0000308	micro-rétrognathie	pt
HP:0000309	Anomalie de l'étage moyen de la face	pt
HP:0000310	étage moyen de la face proéminent	pt
HP:0000311	Face ronde	pt
HP:0000314	rétrécissement bitemporal	pt
HP:0000315	Anomalie de la région orbitale	pt
HP:0000316	Hypertélorisme	pt
HP:0000317	myokymie faciale	pt
HP:0000317	myokymies faciales	uf
HP:0000318	Face longue étroite	pt
HP:0000319	Philtrum plat	pt
HP:0000320	faciès ressemblant à un oiseau	pt
HP:0000321	face carrée	pt
HP:0000322	Philtrum court	pt
HP:0000323	philtrum plat anormalement long	pt
HP:0000324	Asymétrie faciale	pt
HP:0000325	Face triangulaire	pt
HP:0000326	Anomalie du maxillaire	pt
HP:0000327	hypoplasie du maxillaire	pt
HP:0000329	Hémangiome facial	pt
HP:0000330	légère micrognathie	pt
HP:0000331	menton petit	pt
HP:0000333	front plein	pt
HP:0000334	"face maigre, longue"	pt
HP:0000335	face fânée	pt
HP:0000336	Rebord orbitaire saillant	pt
HP:0000337	Front large	pt
HP:0000338	Hypomimie faciale	pt
HP:0000340	Front fuyant	pt
HP:0000341	Front étroit/rétraction temporale	pt
HP:0000342	front fuyant et haut	pt
HP:0000343	Philtrum long	pt
HP:0000345	micrognathie sévère	pt
HP:0000346	face de siffleur	pt
HP:0000347	micrognathie	pt
HP:0000348	Front haut	pt
HP:0000349	implantation capillaire antérieure en pic de veuve	pt
HP:0000350	Petit front	pt
HP:0000353	"faiblesse des muscles faciaux, légère"	pt
HP:0000354	"front large, haut"	pt
HP:0000355	Hypoaldostéronisme	pt
HP:0000356	Anomalie de l'oreille externe	pt
HP:0000357	Localisation anormale des oreilles	pt
HP:0000358	oreilles en rotation postérieure	pt
HP:0000359	Anomalie de l'oreille interne	pt
HP:0000360	acouphènes	pt
HP:0000360	acouphène	uf
HP:0000360	bourdonnements d'oreille	uf
HP:0000361	acouphène pulsatile (paragangliome tympanique)	pt
HP:0000362	Otosclérose	pt
HP:0000362	otospongiose	uf
HP:0000363	anomalie des lobes de l'oreille	pt
HP:0000364	Anomalie de l'ouïe	pt
HP:0000365	Déficit auditif	pt
HP:0000365	pertes auditives	uf
HP:0000366	Anomalie du nez	pt
HP:0000367	Surdité de conduction	pt
HP:0000368	oreilles en rotation postérieure avec une implantation basse	pt
HP:0000369	implantation basse des oreilles	pt
HP:0000369	oreilles basses implantées	uf
HP:0000369	oreilles basses	uf
HP:0000370	Anomalie de l'oreille moyenne	pt
HP:0000371	Otite moyenne aiguë	pt
HP:0000372	Anomalie du canal auditif	pt
HP:0000375	anomalie de la cochlée	pt
HP:0000376	malformation de Mondini	pt
HP:0000377	Anomalie de l'auricule de l'oreille	pt
HP:0000377	Anomalie du pavillon de l'oreille	uf
HP:0000378	Oreilles en forme de coupe	pt
HP:0000378	oreilles excavées	uf
HP:0000379	oreilles simples et petites	pt
HP:0000381	Ankylose de l'étrier	pt
HP:0000382	"oreilles proéminantes, grandes"	pt
HP:0000383	anomalie de la région péri-auriculaire	pt
HP:0000384	acrochordon préauriculaire	pt
HP:0000385	hypoplasie des lobes de l'oreille	pt
HP:0000386	grandes oreilles tombantes	pt
HP:0000387	Oreilles sans lobe	pt
HP:0000388	otite moyenne	pt
HP:0000389	otite moyenne chronique	pt
HP:0000391	Hélix épassis	pt
HP:0000393	Microtie	pt
HP:0000394	Oreille tombante	pt
HP:0000395	antihélix proéminent	pt
HP:0000398	oreilles dysplasiques	pt
HP:0000399	déficience auditive neurosensorielle prélinguale	pt
HP:0000400	grandes oreilles	pt
HP:0000401	grandes oreilles dysplasiques	pt
HP:0000402	Sténose du canal auditif externe	pt
HP:0000402	canal auditif externe sténosé	uf
HP:0000403	Otite moyenne récurrente	pt
HP:0000403	otite moyenne récidivante	uf
HP:0000404	surdité	pt
HP:0000404	surdite	uf
HP:0000404	troubles de l'audition et la surdité	uf
HP:0000405	Déficit auditif par conduction	pt
HP:0000405	perte auditive par conduction	uf
HP:0000407	Déficit auditif neurosensoriel	pt
HP:0000408	déficit auditif neurosensoriel progressif	pt
HP:0000410	déficit auditif mixte	pt
HP:0000411	oreille saillante	pt
HP:0000412	oreilles proéminentes	pt
HP:0000413	Atrésie du canal auditif externe	pt
HP:0000413	atrésie du CAE	uf
HP:0000414	nez bulbeux	pt
HP:0000415	Anomalie des choanes	pt
HP:0000416	atrésie des choanes ou sténose	pt
HP:0000417	nez gracile	pt
HP:0000418	arête nasale étroite	pt
HP:0000419	anomalie de la cloison nasale	pt
HP:0000420	Cloison nasale courte	pt
HP:0000420	septum nasal court	uf
HP:0000421	Epistaxis	pt
HP:0000421	saignement du nez	uf
HP:0000421	épistaxis	uf
HP:0000422	Anomalie de l'arête nasale	pt
HP:0000423	anomalie de la racine du nez	pt
HP:0000424	Racine du nez large	pt
HP:0000425	arête nasale aplatie	pt
HP:0000426	arête nasale proéminente	pt
HP:0000427	nez retroussé	pt
HP:0000428	arête nasale basse	pt
HP:0000429	anomalie de l'aile du nez	pt
HP:0000430	Ailes du nez minces/hypoplasiques	pt
HP:0000431	arête nasale large	pt
HP:0000432	Racine du nez proéminente	pt
HP:0000433	anomalie de la muqueuse nasale	pt
HP:0000434	télangiectasies de la muqueuse nasale	pt
HP:0000436	Anomalie de l'apex du nez	pt
HP:0000437	Apex du nez plat	pt
HP:0000438	nez large et court	pt
HP:0000439	"arête nasale large, plate"	pt
HP:0000441	nez retroussé et court	pt
HP:0000442	arête nasale proéminente	pt
HP:0000443	apex du nez bulbeux	pt
HP:0000444	Nez en bec d'oiseau	pt
HP:0000445	nez large	pt
HP:0000446	arête nasale étroite	pt
HP:0000446	large racine du nez	uf
HP:0000447	nez en forme de poire	pt
HP:0000448	nez proéminent	pt
HP:0000450	petit nez pointu	pt
HP:0000451	Apex du nez triangulaire	pt
HP:0000452	sténose des choanes	pt
HP:0000453	Atrésie choanale	pt
HP:0000453	atrésie des choanes	uf
HP:0000454	narnes évasées	pt
HP:0000455	Large apex du nez	pt
HP:0000456	Apex du nez bifide	pt
HP:0000457	nez plat	pt
HP:0000458	Anosmie	pt
HP:0000458	perte de l'odorat	uf
HP:0000460	nez étroit	pt
HP:0000461	grand nez	pt
HP:0000462	polype nasal	pt
HP:0000463	Narines antéversées	pt
HP:0000464	Anomalie du cou	pt
HP:0000465	Cou palmé court	pt
HP:0000465	cou palmé	uf
HP:0000465	pterygium colli	uf
HP:0000467	Fabilesse des muscles du cou	pt
HP:0000468	Tissu adipeux normal ou augmenté autour du cou	pt
HP:0000470	Cou court	pt
HP:0000471	angiodysplasie gastro-intestinale	pt
HP:0000472	Cou long	pt
HP:0000473	torticolis spasmodique	pt
HP:0000473	Dystonie cervicale	uf
HP:0000474	Excès de peau dans le cou	pt
HP:0000475	cou large	pt
HP:0000476	Hygroma kystique	pt
HP:0000476	hygroma cervical	uf
HP:0000476	Hygrome kystique	uf
HP:0000476	lymphangiome kystique	uf
HP:0000476	hygrome kystique du cou	uf
HP:0000477	plis cutanés de la nuque	pt
HP:0000478	anomalie oculaire	pt
HP:0000478	affection oculaire congénitale	uf
HP:0000479	Anomalie de la rétine	pt
HP:0000480	colobome rétinal	pt
HP:0000481	anomalie de la cornée	pt
HP:0000481	anomalies cornéennes	uf
HP:0000482	microcornée	pt
HP:0000483	Astigmatisme	pt
HP:0000484	astigmatisme hyperopique	pt
HP:0000485	Mégalocornée	pt
HP:0000486	Strabisme	pt
HP:0000487	strabisme congénital	pt
HP:0000488	Rétinopathie	pt
HP:0000489	anomalie de la localisation ou de la taille de l'oeil	pt
HP:0000490	yeux creux	pt
HP:0000490	enophtalmie	uf
HP:0000491	Kératite	pt
HP:0000492	Anomalie de la paupière	pt
HP:0000492	anomalie palpébrale	uf
HP:0000493	Anomalie de la fovea	pt
HP:0000493	Anomalie fovéale	uf
HP:0000494	inclinaison vers la bas des fentes palpébrales	pt
HP:0000495	ulceration corneenne	pt
HP:0000496	mouvements oculaires anormaux	pt
HP:0000496	anomalie des mouvements oculaires	uf
HP:0000496	mouvements anormaux de l'oeil	uf
HP:0000497	rétraction du globe et déviation en abduction	pt
HP:0000498	Blépharite	pt
HP:0000499	Anomalie des cils	pt
HP:0000500	cils anormalement longs et frisés	pt
HP:0000501	Glaucome	pt
HP:0000502	anomalie de la conjonctive	pt
HP:0000503	tortuosité des vaisseaux conjonctivaux	pt
HP:0000504	anomalie de la vision	pt
HP:0000505	Handicap visuel	pt
HP:0000505	o	uf
HP:0000505	acuité visuelle réduite	uf
HP:0000506	Télécanthus	pt
HP:0000508	Ptosis	pt
HP:0000508	blépharoptose	uf
HP:0000508	chute des paupières	uf
HP:0000509	conjonctivite	pt
HP:0000510	Rétinite pigmentaire	pt
HP:0000512	électrorétinogramme anormal	pt
HP:0000512	ERG anormal	uf
HP:0000512	électrorétinographie anormale	uf
HP:0000514	mouvements oculaires saccadés lents	pt
HP:0000515	opacité cornéenne	pt
HP:0000515	opacite corneenne	uf
HP:0000517	anomalie du cristallin	pt
HP:0000518	opacité du cristallin	pt
HP:0000518	opacités du cristallin	uf
HP:0000518	cataracte	uf
HP:0000519	cataracte congénitale	pt
HP:0000519	cataractes bilatérales	uf
HP:0000520	Proptose	pt
HP:0000520	Exophtalmie	uf
HP:0000521	anomalie des glandes lacrymales ou de la production de larmes	pt
HP:0000522	Alacrimie	pt
HP:0000523	cataracte sous-capsulaire	pt
HP:0000524	Télangiectasie de la conjonctive	pt
HP:0000524	Télangiectasies de la conjonctive	uf
HP:0000525	Anomalie de l'iris	pt
HP:0000526	Aniridie	pt
HP:0000526	absence d'iris	uf
HP:0000527	cils anormalement longs	pt
HP:0000528	Anophtalmie	pt
HP:0000529	perte progressive de la vision	pt
HP:0000531	cristaux cornéens	pt
HP:0000532	Anomalie choriorétinienne	pt
HP:0000533	Atrophie choriorétinienne	pt
HP:0000533	atrophie chorio-rétinienne	uf
HP:0000534	anomalie du sourcil	pt
HP:0000535	sourcils clairsemés	pt
HP:0000536	Yeux proéminents	pt
HP:0000537	épicanthus inversus	pt
HP:0000538	pseudo-oedème papillaire	pt
HP:0000539	Anomalie de la réfraction	pt
HP:0000540	Hypermétropie	pt
HP:0000540	hypermétropie/hyperopie	uf
HP:0000540	hyperopie	uf
HP:0000541	Décollement de la rétine	pt
HP:0000541	décollement de la rétine/pli rétinien maculaire	uf
HP:0000542	adduction oculaire altérée	pt
HP:0000543	disques optiques pâles	pt
HP:0000544	ophtalmoplégie externe	pt
HP:0000545	Myopie	pt
HP:0000546	dégénérescence rétinienne	pt
HP:0000546	dégénérescence de la rétine	uf
HP:0000547	dégénérescence tapétorétinienne	pt
HP:0000548	Dystrophie des cônes et des bâtonnets	pt
HP:0000549	mouvement oculaire conjugué anormal	pt
HP:0000550	Electrorétinogramme aboli	pt
HP:0000550	ERG  aboli	uf
HP:0000550	ERG absent	uf
HP:0000551	Vision des couleurs anormale	pt
HP:0000552	Dyschromatopsie bleu-jaune	pt
HP:0000553	Anomalié de l'uvée	pt
HP:0000554	Uvéite	pt
HP:0000555	leucocorie	pt
HP:0000556	dystrophie rétinienne	pt
HP:0000557	Buphtalmie	pt
HP:0000558	anomalie de Rieger	pt
HP:0000559	cicatrice de la cornée	pt
HP:0000560	perte progressive de la vision (4 à 10 ans)	pt
HP:0000561	Cils absents	pt
HP:0000561	absence de cils	uf
HP:0000563	Kératocône	pt
HP:0000564	Atrésie du canal lacrymal	pt
HP:0000565	ésotropie	pt
HP:0000567	Colobome choriorétinien	pt
HP:0000568	microphtalmie	pt
HP:0000570	anomalie des mouvements oculaires saccadés	pt
HP:0000570	défaut des mouvements oculaires saccadés	uf
HP:0000571	saccades hypométriques	pt
HP:0000572	cécité	pt
HP:0000573	Hémorragie rétinienne	pt
HP:0000574	Sourcils épais	pt
HP:0000574	sourcils fournis	uf
HP:0000575	scotome	pt
HP:0000576	scotome centrocaecal	pt
HP:0000577	Exotropie	pt
HP:0000579	obstruction du conduit lacrymal	pt
HP:0000580	Rétinite pigmentaire	pt
HP:0000581	Blépharophimosis	pt
HP:0000581	rétrécissement de la fente palpébrale	uf
HP:0000582	inclinaison vers le haut des fentes palpébrales	pt
HP:0000585	Kératopathie en bandelettes	pt
HP:0000586	orbites peu profondes	pt
HP:0000587	anomalie du nerf optique	pt
HP:0000588	Colobome du nerf optique	pt
HP:0000589	colobome	pt
HP:0000589	Colobome oculaire	uf
HP:0000590	ophtalmoplégie externe progressive	pt
HP:0000591	anomalie de la sclère	pt
HP:0000592	Sclérotiques bleues/bleutées	pt
HP:0000592	sclérotique bleue	uf
HP:0000593	Anomalie de la chambre antérieure de l'oeil	pt
HP:0000594	Chambre antérieure peu profonde	pt
HP:0000595	cécité corticale	pt
HP:0000597	paralysie oculomotrice	pt
HP:0000598	Anomalie de l'oreille	pt
HP:0000599	anomalie de l'implantation frontale	pt
HP:0000600	Anomalie du pharynx	pt
